Instancia 0

Nodo      X         Y
         1        45       220
         2       170       225
         3       510       195
         4       740        90
         5       650       180
         6       720       220
         7       620       250
         8       660       280
         9       770       270
        10       575       310
        11       540       320
        12       415       355
        13       330       425
        14       380       470
        15       395       505
        16       305       500
        17       225       585
        18       515       695
        19       620       670
        20       720       695
        21       960       580
        22       740       555
        23       775       530
        24       840       445
        25       655       490
        26       535       490
        27       550       420
        28       575       375
        29       630       350
